id;Categoria-1;Categoria-2;Categoria-3;Categoria-4;Categoria-5;Categoria-6;Categoria-7;Categoria-8;Categoria-9;Categoria-10;Categoria-11;Categoria-12;Categoria-13;Categoria-14;Categoria-15;Categoria-16;Categoria-17;Categoria-18;Categoria-19;Categoria-20;Categoria-21;Categoria-22;Categoria-23;Categoria-24;Categoria-25;Categoria-26;Categoria-27;Categoria-28;Categoria-29;Categoria-30;Categoria-31;Categoria-32;Categoria-33;Categoria-34;Categoria-35;Categoria-36;Nota Língua;ncb;purl;capa;tipo de material;língua;língua da obra original;título;subtítulo;título original;edição;publicação;data da publicação;data da publicação2;dimensões;autor;autor - organização;co-autores;autores secundários;co-autores - organizações;autores secundários - organizações;cota;coleção;id persistente;acesso
6092;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Iconografia - Impressos - Portadas | 392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;453095;https://purl.pt/44009;https://bndigital.bnportugal.gov.pt//i/?IIIF=/88/00/15/96/88001596-d055-4919-978a-2399ff1eeca4/iiif/cam-1776-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Rimas;;;1.ª ed.;Coimbra : Livraria Almedina;1994;1994;LXXIX, 3, 429, 3 p.;Luís de Camões, 1524-1580;;;"Álvaro J. da Costa Pimpão, 1902-1984, Adaptador ; Aníbal Pinto de Castro, 1938-2010, Autor da apresentação";;;CAM. 1776 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/453095;Livre
6093;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Iconografia - Impressos - Portadas | 392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;396405;https://purl.pt/6115;https://bndigital.bnportugal.gov.pt//i/?IIIF=/11/21/33/35/11213335-0c6f-4347-8501-397d47049e54/iiif/e-2172-v_0000_1-2_p24-C-R0150_000001.tif/full/!300,500/0/default.jpg;Iconografia;Português;;Luís de Camões;;;1.ª ed.;Macau : Com. Org. Comem. Dia de Portugal de Camões e das Comunid. Portuguesas;1992;1992;1 imagem;Fernando Jorge Fialho, 1965-;;;;;;PURL 6115/0;;http://id.bnportugal.gov.pt/bib/catbnp/396405;Interno
6094;Obra - Manuscritos - Cancioneiros e miscelâneas - Lírica | 140;Recepção criativa - Tematização | 409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220128;https://purl.pt/43961;https://bndigital.bnportugal.gov.pt//i/?IIIF=/cd/57/7b/1a/cd577b1a-46b3-40c3-8f45-060aafb50cb2/iiif/cam-1719-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusíadas;;;2ª ed;Lisboa : Instituto de Cultura e Língua Portuguesa;1989;1989;LIX, 559, 1 br. p., 5 extratextos;Luís de Camões, 1524-1580;;;"Álvaro J. da Costa Pimpão, 1902-1984, Comentador de texto escrito ; Aníbal Pinto de Castro, 1938-2010, Autor da apresentação";;;P.P. 19179 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/220128;Livre
6095;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Obras individuais - Épica - Paratextos argumentos | 154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;470616;https://purl.pt/39139;https://bndigital.bnportugal.gov.pt//i/?IIIF=/b2/91/d9/5c/b291d95c-4378-4f26-8936-fcf4d3b8b631/iiif/mp-215-a_0000_000001.tif/full/!300,500/0/default.jpg;Partitura;Português;;Canções profanas;para e canto e piano;;1.ª ed.;Lisboa : Valentim de Carvlho;1983;1983;Partitura 28 p.;Ivo Cruz, 1901-1985;;"Francisco de Sá de Miranda, 1481-1558, Autor de letras para trechos musicais ; Augusto Gil, 1873-1929, Autor de letras para trechos musicais ; António Nobre, 1867-1900, Autor de letras para trechos musicais ; Luís de Camões, 1524-1580, Autor de letras para trechos musicais";;;"Valentim de Carvalho. Conservatório Nacional. Escola de Música, Editor comercial ; Portugal. Conservatório Nacional. Escola de Música, Antigo possuidor";C.N. 2699 A.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/470616;Interno
6096;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Obras individuais - Épica - Paratextos argumentos | 154;Tradução - Impressos - Obras individuais - Épica - Paratextos notas | 155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36470;https://purl.pt/43754;https://bndigital.bnportugal.gov.pt//i/?IIIF=/d8/5c/43/f8/d85c43f8-9c55-4206-b414-1f428483360c/iiif/cam-1427-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;"Normas para uma edição crítica de ""Os Lusíadas""";;;Edição póstuma com prefácio e revisão do prof. Sílvio Elia;Rio de Janeiro : Real Gabinete Português de Leitura;1981;1981;6, 82, 3 p.;Hamilton Aluízio Elia;;;;;;CAM. 1427 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/36470;Interno
6097;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Obras individuais - Épica - Paratextos argumentos | 154;Tradução - Impressos - Obras individuais - Épica - Paratextos notas | 155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251973;https://purl.pt/39844;https://bndigital.bnportugal.gov.pt//i/?IIIF=/e2/87/4b/ea/e2874bea-f246-4633-bd9b-517c7955a0df/iiif/cam-206-a_0000_000005.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Variações camonianas;;;1.ª ed.;Lisboa : Imprensa Nacional-Casa da Moeda;1981;1981;10 p., 21 estampas em bolsa de resguardo;José Augusto França, 1922-2021;;;José de Guimarães, Ilustrador;;;CAM. 206 A.;;http://id.bnportugal.gov.pt/bib/catbnp/251973;Interno
6098;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Obras individuais - Épica - Paratextos argumentos | 154;Iconografia - Impressos - Portadas | 392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36519;https://purl.pt/27194;https://bndigital.bnportugal.gov.pt//i/?IIIF=/86/a9/16/8c/86a9168c-2912-43f3-a571-6705c3ff0615/iiif/cam-1409-v_0000_capa-capa_t24-C-R0150_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;O bilinguismo castelhano-português na época de Camões;;;1.ª ed.;Paris : Fund. Calouste Gulbenkian - Centro Cult. Port.;1981;1981;p. 807-827;Pilar Vásquez Cuesta, 1926-2019;;;;;;CAM. 1409 V.;;http://id.bnportugal.gov.pt/bib/catbnp/36519;Interno
6099;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Comentários - Impressos - Épica | 334;Iconografia - Impressos - Portadas | 392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1917811;https://purl.pt/27836;https://bndigital.bnportugal.gov.pt//i/?IIIF=/8d/ff/2a/19/8dff2a19-54a5-4ad3-b5a6-94470c24be7f/iiif/pi-9193-p_0000_1-2_t24-C-R0150_000001.tif/full/!300,500/0/default.jpg;Iconografia;Inglês;;Gruta de Camões;Macau, circa 1835;;1.ª ed.;Macau : Tourist Information Bureau;1980;1980;1 postal;;;;;;;P.I. 9193 P.;;http://id.bnportugal.gov.pt/bib/catbnp/1917811;Livre
6100;Obra - Impressos - Obras (avulsas) - Teatro - Título das peças | 42;Obra - Impressos - Paratextos - Obras (avulsas) - Teatro | 111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6786;https://purl.pt/40509;https://bndigital.bnportugal.gov.pt//i/?IIIF=/37/22/36/1b/3722361b-76ca-4305-bddd-d183a30ee250/iiif/l-70789-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;O cancioneiro do Pe. Pedro Ribeiro;;;1.ª ed.;Lisboa : Imp. Nac.-Casa da Moeda;1980;1980;"2 t. em 1 v. 4, IX, 171 p. ; 4, 129, 4 p.";Carolina Michaëlis de Vasconcelos, 1851-1925;;;;;;L. 70789 V.;EODOPEN;http://id.bnportugal.gov.pt/bib/catbnp/6786;Livre
6101;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9413;https://purl.pt/40198;https://bndigital.bnportugal.gov.pt//i/?IIIF=/ba/42/5c/2b/ba425c2b-606d-477e-8124-8e22e680f4c2/iiif/cam-1138-v_0000_000001.tif/full/!300,500/0/default.jpg;Periódico;Português;;Camões;;;1.ª ed.;Lisboa : Caminho;1980;1980;;;;;Óscar Lopes, 1917-2013, Director;;;CAM. 1138 V.;;http://id.bnportugal.gov.pt/bib/catbnp/9413;Interno
