abk;Abcázio
alg;Abnaki
akk;Acadiano
ace;Achinese
ach;Acholi
ada;Adangme
ady;Adigeu
aar;Afar
pus;Afegão
ssa;Africanas Sub-Saharianas (Outras línguas)
afr;Africaner
afh;Afrihili
afr;Afrikaans
afa;Afro-asiáticas (Outras línguas)
ain;Aino
aka;Akan
alb;Albanês
ger;Alemão
goh;Alemão (Alto-alemão antigo)(ca 750-1050)
gmh;Alemão (Alto-alemão médio)(ca 1050-1500)
nds;Alemão, Baixo
ale;Aleutiano
alg;Algonquianas (Línguas)
alg;Algonquim
alg;Algonquino (Grupo)
tut;Altaicas (Outras línguas)
alt;Altaico do Sul
hsb;Alto sorábio
amh;Amárico
amh;Amarinya
vie;Anamita
anp;Angika
roa;Anglo-normando
ang;Anglo-saxão
elx;Anzanita
apa;Apache (Línguas)
ara;Árabe
arg;Aragonês
arc;Aramaico (700-300 a.C.)
arp;Arapahoe
arn;Araucano
arw;Arawar
arm;Arménio
bre;Armórico
rup;Aromeno
art;Artificiais (Outras línguas)
twi;Ashanti
asm;Assamês
dak;Assiniboin
akk;Assírio-babilónico
ast;Asturiano
ath;Atapasca (Outras línguas)
aus;Australianas (Línguas)
map;Austronésias (Outras línguas)
ava;Avar
ava;Avárico
ave;Avéstico
awa;Awadhi
aym;Aymara
aze;Azerbaidjano
aze;Azerbeijano
aze;Azeri
nah;Azteca (Grupo)
nds;Baixo alemão
dsb;Baixo sorábio
ban;Balinês
bat;Bálticas (Outras línguas)
bal;Balútchi
bam;Bamana
bam;Bambara
bai;Bamileke (Línguas)
bad;Banda (Línguas)
bnt;Banto (Outras línguas)
bas;Basa
baq;Basco
bak;Bashkir
btk;Batak (Línguas)
bej;Bedawye
bej;Bedja
wak;Bella Bella
sal;Bella Coola
bem;Bemba
ben;Bengali
nai;Beothuk
ber;Berberes (Outras línguas)
bho;Bhojpuri
bej;Bichari
bel;Bielorusso
bih;Bihari
bik;Bikol
sio;Biloxi
bal;Biluchi
bin;Bini
bur;Birmanês
bis;Bislama
byn;Blin
zbl;Bliss (símbolos)
cze;Boémio
bos;Bósnio
khi;Bosquímanas (Línguas)
bra;Braj
bre;Bretão
bug;Buginês
bul;Búlgaro
chu;Búlgaro antigo (até 1100)
bua;Buriate
kbd;Cabardiano
kas;Cachemira
cad;Caddo
arc;Caldeu
khm;Cambojano
kan;Canarês
ath;Canerês
car;Caraíba
krl;Carélio
kaz;Casaque
spa;Castelhano
csb;Casúbio
cat;Catalão
cau;Caucásicas (Outras línguas)
iro;Cayuga
ceb;Cebuano
cel;Célticas (Línguas)
cel;Célticas (Outras línguas)
nya;Cewa
chg;Chagataí
shn;Cham
cmc;Chamic (Línguas)
cha;Chamorro
che;Checheno
cze;Checo
chr;Cheroquês
nya;Chewa
chy;Cheyenne
chb;Chibcha
nya;Chibchewa
oto;Chichimeca -- Jonaz
chi;Chinês
chn;Chínook ( Jargão)
chp;Chipewyan
oji;Chippewa
sio;Chiwere
cho;Choctaw
sna;Chona
myn;Chontal de Tabasco
myn;Chorti
chk;Chuukese
chv;Chuvash
rom;Ciganos (Falares)
sin;Cingalês
sal;Comox
kok;Concani
nic;Congo-Kordofan (Outras línguas)
kon;Congolês
cop;Copta
kor;Coreano
cor;Córnico
cos;Corsa (Língua)
cre;Cree
mus;Creek
cpf;"Crioulas e ""Pidgins"" (Línguas baseadas no francês)"
cpe;"Crioulas e ""Pidgins"" (Línguas baseadas no inglês)"
cpp;"Crioulas e ""Pidgins"" (Línguas baseadas no português)"
crp;"Crioulas e ""Pidgins"" (Outras línguas)"
hat;Crioulo haitiano
scr;Croata
sio;Crow
cus;Cuchitas (Outras línguas)
kur;Curdo
kru;Curuque
lez;Daguestânico
dak;Dakota
nor;Dano-norueguês
nob;Dano-norueguês
dar;Dargínico
day;Dayak (Línguas)
del;Delaware
egy;Demótico
din;Denca
und;Desconhecida (Língua)
dan;Dinamarquês
din;Dinka
div;Divehi
doi;Dogri
dgr;Dogrib
dra;Dravídicas (Outras línguas)
dua;Duala
dyu;Dyula
dzo;Dzongkha
efi;Efik
egy;Egípcio
eka;Ekajuk
elx;Elamita
myv;Erzya
sco;Escocês
sco;Escocês da Planície
gla;Escocês gaélico
sla;Eslavas (Outras línguas)
chu;Eslavónico sacro antigo
chu;Eslavónico, sacro
slo;Eslovaco
slv;Esloveno
spa;Espanhol
epo;Esperanto
ypk;Esquimós (Línguas)
est;Estoniano
gez;Etíope
ewe;Ewe
ewo;Ewondo
fan;Fan
fan;Fang
fat;Fanti
per;Farsi
phn;Fenício
fao;Feroês
fao;Feróico
fij;Fidjiano
phi;Filipinas (Outras línguas)
fil;Filipino
fin;Finlandês
fiu;Fino-úgricas (Outras línguas)
dut;Flamengo
fon;Fon
alg;Fox
fre;Francês
fro;Francês antigo (ca 842-1400)
frm;Francês de transição (ca 1400-1600)
frs;Frisão oriental
frr;Frisão setentrional
fry;Frisão ocidental
fry;Frísio
fur;Friuliano
ful;Fula
gaa;Gã
gla;Gaélico escocês
gle;Gaélico irlandês
glg;Galego
wel;Galês
orm;Galla
lug;Ganda
gay;Gayo
gba;Gbaya
gez;Geez (Etíope)
geo;Georgiano
gem;Germânicas (Outras línguas)
gil;Gilbertês
gon;Gondi
gor;Gorontalo
got;Gótico
grb;Grebo
grc;Grego antigo (até 1453)
grc;Grego bíblico
grc;Grego bizantino
grc;Grego clássico
grc;Grego helenístico
grc;Grego medieval
gre;Grego moderno (1453- )
grc;Grego patrístico
kal;Gronelandês
grn;Guarani
kpe;Guerze
guj;Gujarati
guj;Guzerate
gwi;Gwichin
hai;Haida
wak;Haisla
ath;Hare
hau;Haussa
haw;Havaiano
heb;Hebraico
heb;Hebraico antigo
wak;Heiltsuk
her;Herero
sio;Hidatsa
egy;Hierático
egy;Hieroglífico
hil;Hiligaynon
him;Himachali
hin;Hindi
hmo;Hiri Motu
hit;Hitita
hmn;Hmong
dut;Holandês
gem;Holandês da Pensilvânia
dum;Holandês medieval (ca 1050-1350)
khi;Hotentotes (Línguas)
hun;Húngaro
hup;Hupa
map;Iai
iba;Iban
efi;Ibidio
ido;Ido
ibo;Igbo
